CPU型号,CPU价格,主板型号,主板价格,显卡型号,显卡价格,内存型号,内存价格,硬盘型号,硬盘价格,机箱型号,机箱价格,电源型号,电源价格,显示器型号,显示器价格,散热器型号,散热器价格
AMD Ryzen 5 5500,1099,微星PRO B760M-B DDR5,699,蓝戟Intel Arc A380 Photon 6G OC,1299,七彩虹16GB DDR4 3200 8GB,179,东芝1TB 7200转 32MB SATA3（DT01ACA100）,235,先马趣造,299,爱国者YOGO 650,219,AOC Q27G3S,1449,Bykski G20 G20 方案套餐 ,4855
AMD Ryzen 5 3600,1199,技嘉B760M GAMING,789,蓝戟Arc A770 Photon 16G OC W X ASIAN GAMES,2199,金士顿4GB DDR3 1600（KVR16N11S8/4）,229,希捷Barracuda 1TB 7200转 64MB SATA3（ST1000DM010）,269,先马平头哥M2,129,大水牛劲强500,169,AOC U2790PQU,1999,Bykski GZGPUM240N 常规款冷头+PMD3泵 ,1442
Intel 酷睿 i5 12490F,1280,华硕TUF GAMING B550M-PLUS WIFI II,849,技嘉RTX 4060 风魔 OC,2399,金士顿FURY Beast 8GB DDR5 6000（KF560C40BB-8）,259,西部数据蓝盘 1TB 7200转 64MB SATA3（WD10EZEX）,270,先马黑洞7,239,海韵FOCUS GX-1000,1299,AOC U27U2,3099,ProArtist B3 PRO ,104
AMD Ryzen 5 5600,1359,微星B760M BOMBER DDR4,899,蓝宝石RX 6750 GRE 12G D6 极地版,2449,海盗船复仇者LPX 8GB DDR4 3200,260,西部数据蓝盘 1TB 5400转 8MB SATA3（WD10JPVX）,289,玩嘉孤勇者MINI,184,海韵FOCUS GX-750,919,HKC IG27,1349,ProArtist Basic3 ,89
Intel 酷睿 i5 12400,1480,华硕B760M-P,999,蓝宝石RX 6750 GRE 12G D6 极光,2549,七彩虹战斧 16GB DDR5 5200,299,东芝500GB 5400转 8MB SATA3（MQ01ABF050）,289,乔思伯Z20,399,海韵FOCUS GX-850,1079,HKC IG27Q,1899,ProArtist E6 ,149
AMD Ryzen 5 5600G,1599,华硕PRIME B650M-K,1099,微星GeForce RTX 4060 Ti VENTUS 3X 16G OC,2699,英睿达16GB DDR5 5600 笔记本内存条,300,西部数据蓝盘 2TB 5400转 256MB SATA3（WD20EZAZ）,330,乔思伯D41,289,航嘉MVP K850X,859,HKC S2716Q,1199,ProArtist GA5 ,699
Intel 酷睿 i5 13490F,1599,七彩虹CVN B760I FROZEN WIFI V20,1199,七彩虹iGame GeForce RTX 4060 Ultra W OC 8GB,2799,金士顿8GB DDR4 2666（KVR26N19S8/8）,319,西部数据蓝盘 2TB 5400转 64M SATA3（WD20EZRZ）,349,联力包豪斯 EVO 全视版,1249,航嘉WD600K,379,HKC T3252U,1399,超频三东海R4000S ,99
Intel 酷睿 i5 13400F,1699,华硕TUF GAMING B760M-PLUS D4重炮手,1249,摩尔线程MTT S80,2999,金百达银爵 16GB（2×8GB）DDR4 3200,359,西部数据蓝盘 2TB 7200转 256MB SATA3（WD20EZBX）,355,联力L216,589,航嘉WD650EVO,459,KTC H27S12,1499,超频三东海X6 ,109
Intel 酷睿 i5 13400,1799,微星MAG B760M MORTAR,1349,七彩虹iGame GeForce RTX 2060 Ultra,3099,金士顿FURY Beast 16GB DDR5 5600 白色款,389,西部数据黑盘 1TB 7200转 64M SATA3（WD10SPSX）,409,酷冷至尊MB520,279,航嘉WD650K,499,LG 27GP850,3999,超频三巨浪240 ,289
Intel 酷睿 i5 12600KF,1830,华硕TUF GAMING B650M-PLUS WIFI,1499,七彩虹战斧 GeForce RTX 4060 Ti DUO 8GB,3199,金百达银爵 16GB（2×8GB）DDR5 6000,399,西部数据蓝盘 3TB 5400转 64M SATA3（WD30EZRZ）,525,华硕玩家国度ROG Strix Helios,1999,航嘉WD650K 全模组,499,LG 32GS95UE,2000,航嘉MVP海神X360一体式水冷 ,599
Intel 酷睿i5 7500,1999,技嘉Z790 UD,1749,耕升RTX 4060 Ti 踏雪,3299,光威天策 16GB（2×8GB）DDR4 3200,419,huananzhi M.2 2280 NVME 固态硬盘M2 NVME 2TB,586,华硕TUF GAMING GT501 CASE,999,航嘉WD750K全模组,659,Redmi RMMNT27NF,999,航嘉暴风雪T620 飞雪 ,199
